#separator:tab
#html:true
#tags column:4
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是 (shì) — verbe copule</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是 = être. Négation : 不是. Question : 是…吗 ? ou A是不是B ?<br><br><b>Exemples :</b><br>• 我是法国人。<br><small>wǒ <span class=""t4"">shì</span> <span class=""t3"">Fǎ</span><span class=""t2"">guó</span><span class=""t2"">rén</span>。</small><br><i>Je suis français(e).</i><br><br>• 她不是老师，是医生。<br><small><span class=""t1"">tā</span> <span class=""t4"">bù</span> <span class=""t4"">shì</span> <span class=""t3"">lǎo</span><span class=""t1"">shī</span>…</small><br><i>Elle n'est pas professeure, elle est médecin.</i><br><br>• 你是学生吗？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">shì</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span> <span class=""t0"">ma</span>？</small><br><i>Es-tu étudiant(e) ?</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 补语可能 (V得/V不 + résultat)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>V + 得 + résultat = capable de faire. V + 不 + résultat = incapable. Exprime la possibilité physique ou contextuelle.<br><br><b>Exemples :</b><br>• 这道题我做得出来。<br><small><span class=""t4"">zhè</span> <span class=""t4"">dào</span> <span class=""t2"">tí</span> <span class=""t3"">wǒ</span> <span class=""t4"">zuò</span> <span class=""t0"">de</span> <span class=""t1"">chū</span><span class=""t2"">lái</span>。</small><br><i>Je peux résoudre cet exercice.</i><br><br>• 字太小，我看不清楚。<br><small><span class=""t4"">zì</span> <span class=""t4"">tài</span> <span class=""t3"">xiǎo</span>，<span class=""t3"">wǒ</span> <span class=""t4"">kàn</span> <span class=""t4"">bu</span> <span class=""t1"">qīng</span><span class=""t3"">chǔ</span>。</small><br><i>Les caractères sont trop petits, je ne peux pas les lire clairement.</i><br><br>• 这个箱子我搬不动。<br><small><span class=""t4"">zhè</span> <span class=""t0"">ge</span> <span class=""t1"">xiāng</span><span class=""t0"">zi</span> <span class=""t3"">wǒ</span> <span class=""t1"">bān</span> <span class=""t4"">bu</span> <span class=""t4"">dòng</span>。</small><br><i>Je ne peux pas soulever cette valise.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">虽然…但是/却… — bien que…cependant…</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Concession : 虽然 introduit la proposition concédée, 但是/却 introduit la réalité contrastante. 虽然 et 但是 peuvent être séparés entre deux propositions avec des sujets différents.<br><br><b>Exemples :</b><br>• 虽然很累，但是还要继续。<br><small><span class=""t1"">suī</span><span class=""t2"">rán</span> <span class=""t3"">hěn</span> <span class=""t2"">lèi</span>，<span class=""t4"">dàn</span><span class=""t4"">shì</span>…</small><br><i>Bien que très fatigué(e), il faut continuer.</i><br><br>• 她虽然年轻，经验却很丰富。<br><small><span class=""t1"">tā</span> <span class=""t1"">suī</span><span class=""t2"">rán</span> <span class=""t2"">nián</span><span class=""t1"">qīng</span>，<span class=""t1"">jīng</span><span class=""t4"">yàn</span> <span class=""t4"">què</span>…</small><br><i>Bien qu'elle soit jeune, elle a beaucoup d'expérience.</i><br><br>• 虽然失败了，但没有后悔。<br><small><span class=""t1"">suī</span><span class=""t2"">rán</span> <span class=""t1"">shī</span><span class=""t4"">bài</span> <span class=""t0"">le</span>，<span class=""t4"">dàn</span> <span class=""t2"">méi</span><span class=""t3"">yǒu</span>…</small><br><i>Bien qu'ayant échoué, il/elle ne regrette pas.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">给 — donner à / pour (préposition)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>给</b> peut être verbe (donner) ou préposition (à/pour). Comme préposition, il précède la personne bénéficiaire.<br><br><b>Exemples :</b><br>• 她给我买了礼物。<br><small>tā gěi wǒ mǎi le lǐwù</small><br><i>Elle m'a acheté un cadeau (= pour moi).</i><br><br>• 请把书给他。<br><small>qǐng bǎ shū gěi tā</small><br><i>Donne-lui le livre.</i><br><br>• 我给你解释一下。<br><small>wǒ gěi nǐ jiěshì yīxià</small><br><i>Je t'explique.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">除了…以外 — sauf / en plus de</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Avec <b>都</b> : sauf (exclusion). Avec <b>还/也</b> : en plus de (inclusion). La nuance dépend du connecteur qui suit.<br><br><b>Exemples :</b><br>• 除了他以外，大家都来了。<br><small>chúle tā yǐwài, dàjiā dōu lái le</small><br><i>Sauf lui, tout le monde est venu.</i><br><br>• 她除了中文以外还会说日语。<br><small>tā chúle zhōngwén yǐwài hái huì shuō rìyǔ</small><br><i>En plus du chinois, elle parle aussi japonais.</i><br><br>• 除了钱，我什么都有。<br><small>chúle qián, wǒ shénme dōu yǒu</small><br><i>Sauf de l'argent, j'ai tout.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">把 — objets directs longs / résultats complexes</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>把 est <b>obligatoire</b> quand : l'objet est déplacé, modifié ou éliminé de façon complexe, ou quand l'objet est une longue proposition. Le verbe <b>ne peut pas</b> être simple (pas de 把书看, seulement 把书看完/看了一遍).<br><br><b>Exemples :</b><br>• 他把那封重要的信撕掉了。<br><small>tā bǎ nà fēng zhòngyào de xìn sīdiào le</small><br><i>Il a déchiré cette lettre importante.</i><br><br>• 请把窗户关上。<br><small>qǐng bǎ chuānghù guān shàng</small><br><i>Ferme la fenêtre.</i><br><br>• 她把我说的话都记下来了。<br><small>tā bǎ wǒ shuō de huà dōu jì xiàlai le</small><br><i>Elle a noté tout ce que j'ai dit.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">得 — trois usages à distinguer</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>得(de)</b> complément de degré : V+得+adv. <b>得(děi)</b> devoir (obligation). <b>得(dé)</b> obtenir.<br><br><b>Exemples :</b><br>• 她跑得很快。(de = manière)<br><small>tā pǎo de hěn kuài</small><br><i>Elle court très vite.</i><br><br>• 你得先完成作业。(děi = obligation)<br><small>nǐ děi xiān wánchéng zuòyè</small><br><i>Tu dois d'abord finir tes devoirs.</i><br><br>• 他得到了奖励。(dé = obtenir)<br><small>tā dédào le jiǎnglì</small><br><i>Il a obtenu une récompense.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">让/叫/使/令 — causatif</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Tous signifient ""faire faire"" ou ""rendre + adj"", mais avec des nuances :<br><b>让</b> = permettre/laisser · <b>叫</b> = ordonner/faire (oral) · <b>使</b> = causer (soutenu/abstrait) · <b>令</b> = rendre (registre formel/littéraire).<br><br><b>Exemples :</b><br>• 妈妈让我去买菜。<br><small>māma ràng wǒ qù mǎi cài</small><br><i>Maman m'a demandé d'aller faire les courses.</i><br><br>• 这首歌让他很感动。<br><small>zhè shǒu gē ràng tā hěn gǎndòng</small><br><i>Cette chanson l'a beaucoup touché.</i><br><br>• 这个消息令人震惊。<br><small>zhège xiāoxi lìng rén zhènjīng</small><br><i>Cette nouvelle est stupéfiante.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">差不多 / 几乎 / 大约 — approximatif</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>差不多</b> = à peu près (similar à). <b>几乎</b> = presque (très proche de). <b>大约</b> = environ (quantité).<br><br><b>Exemples :</b><br>• 差不多两个小时到。<br><small>chàbuduō liǎng gè xiǎoshí dào</small><br><i>Ça prend à peu près deux heures.</i><br><br>• 他几乎每天都来。<br><small>tā jīhū měitiān dōu lái</small><br><i>Il vient presque tous les jours.</i><br><br>• 大约三百人参加了会议。<br><small>dàyuē sānbǎi rén cānjiā le huìyì</small><br><i>Environ trois cents personnes ont assisté à la réunion.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">到底 — au fond / en fin de compte / diable</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>到底</b> dans les questions = expression d'impatience ou de vouloir une réponse définitive.<br>Dans les affirmations = finalement / au bout du compte (résultat après une longue attente).<br><br><b>Exemples :</b><br>• 你到底想要什么？<br><small>nǐ dàodǐ xiǎng yào shénme ?</small><br><i>Qu'est-ce que tu veux au fond ?</i><br><br>• 他到底来了。<br><small>tā dàodǐ lái le</small><br><i>Il est finalement venu.</i><br><br>• 这到底是怎么回事？<br><small>zhè dàodǐ shì zěnme huí shì ?</small><br><i>Mais qu'est-ce qui se passe au juste ?</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">差点(儿) — avoir failli</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>差点</b> + V = avoir failli V (sous-entendu : ça ne s'est pas produit, ouf). <b>差点没</b> + V = avoir failli ne pas V (même sens paradoxalement, insistance populaire).<br><br><b>Exemples :</b><br>• 我差点忘了带钥匙。<br><small>wǒ chàdiǎn wàng le dài yàoshi</small><br><i>J'ai failli oublier de prendre mes clés.</i><br><br>• 她差点哭出来了。<br><small>tā chàdiǎn kū chū lái le</small><br><i>Elle a failli fondre en larmes.</i><br><br>• 车差点撞上了行人。<br><small>chē chàdiǎn zhuàng shàng le xíngrén</small><br><i>La voiture a failli renverser un piéton.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">再说 — en plus / de toute façon / on verra</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>再说</b> a deux usages :<br>1. De plus / en outre (connecteur). <br>2. On verra le moment venu / à plus tard (reporter une décision).<br><br><b>Exemples :</b><br>• 这事太难了，再说我也没时间。<br><small>zhè shì tài nán le, zàishuō wǒ yě méi shíjiān</small><br><i>C'est trop difficile, et de toute façon je n'ai pas le temps.</i><br><br>• 先把眼前的事做完再说吧。<br><small>xiān bǎ yǎnqián de shì zuòwán zàishuō ba</small><br><i>Finissons d'abord ce qui est devant nous, on verra ensuite.</i><br><br>• 去不去以后再说，现在不必决定。<br><small>qù bu qù yǐhòu zàishuō...</small><br><i>Aller ou non, on verra plus tard — pas besoin de décider maintenant.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">连 + A + 都/也 + B — même A fait B</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>连 marque un exemple extrême pour renforcer une affirmation. Peut s'utiliser avec négation : 连A都不B (même A ne fait pas B).<br><br><b>Exemples :</b><br>• 连他这么懒的人都开始运动了。<br><small>lián tā zhème lǎn de rén dōu kāishǐ yùndòng le</small><br><i>Même lui, aussi paresseux qu'il est, a commencé à faire du sport.</i><br><br>• 这道题连专家都解不出来。<br><small>zhè dào tí lián zhuānjiā dōu jiě bù chū lái</small><br><i>Ce problème, même des experts n'arrivent pas à le résoudre.</i><br><br>• 她连饭都忘记吃了，忙着工作。<br><small>tā lián fàn dōu wàngjì chī le...</small><br><i>Elle a oublié même de manger tellement elle était occupée.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是…的 (确认información pasada)</span><br><br><small style=""color:#888"">HSK 3-4</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是…的 encadre l'information à mettre en relief dans une action passée connue. Peut se placer avant ou après l'objet.<br><br><b>Exemples :</b><br>• 他是坐地铁去的。<br><small>tā shì zuò dìtiě qù de</small><br><i>C'est en métro qu'il y est allé.</i><br><br>• 这事是我告诉他的。<br><small>zhè shì shì wǒ gàosu tā de</small><br><i>C'est moi qui lui ai dit ça.</i><br><br>• 她是昨天到的，不是今天。<br><small>tā shì zuótiān dào de</small><br><i>C'est hier qu'elle est arrivée, pas aujourd'hui.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">看来 / 看样子 — il semble que / on dirait que</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>看来</b> / <b>看样子</b> = il semble que, à voir les signes. Exprime une déduction à partir d'indices observés.<br><br><b>Exemples :</b><br>• 看来他今天不打算来了。<br><small>kànlái tā jīntiān bù dǎsuàn lái le</small><br><i>Il semble qu'il n'ait pas l'intention de venir aujourd'hui.</i><br><br>• 看样子要下雨了，带把伞吧。<br><small>kànyàngzi yào xià yǔ le, dài bǎ sǎn ba</small><br><i>On dirait qu'il va pleuvoir, prenons un parapluie.</i><br><br>• 看来这件事比想象的复杂多了。<br><small>kànlái zhè jiàn shì bǐ xiǎngxiàng de fùzá duō le</small><br><i>Il semble que cette affaire soit bien plus compliquée qu'on ne le pensait.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">把 + 宾语 + V + 结果补语 — résultats complexes</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>把 devient <b>obligatoire</b> quand l'objet subit une transformation, un déplacement ou une élimination complexe. Le verbe doit avoir un complément (résultat, directionnel, aspect). ❌ 把书看 (incorrect seul)<br><br><b>Exemples :</b><br>• 他把那本书看完了。<br><small>tā bǎ nà běn shū kàn wán le</small><br><i>Il a fini (de lire) ce livre.</i><br><br>• 她把房间打扫得干干净净。<br><small>tā bǎ fángjiān dǎsǎo de gāngānjìngjìng</small><br><i>Elle a nettoyé la chambre jusqu'à ce qu'elle soit impeccable.</i><br><br>• 请把这封信翻译成法语。<br><small>qǐng bǎ zhè fēng xìn fānyì chéng Fǎyǔ</small><br><i>Veuillez traduire cette lettre en français.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">被动句无施事 — passif sans agent</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>La structure 被 peut s'utiliser sans mentionner l'agent quand il est inconnu, évident ou non pertinent.<br><br><b>Exemples :</b><br>• 我的手机被偷了。<br><small>wǒ de shǒujī bèi tōu le</small><br><i>Mon téléphone a été volé (par quelqu'un).</i><br><br>• 这件事已经被处理了。<br><small>zhè jiàn shì yǐjīng bèi chǔlǐ le</small><br><i>Cette affaire a déjà été traitée.</i><br><br>• 错误被发现了。<br><small>cuòwù bèi fāxiàn le</small><br><i>L'erreur a été découverte.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 起来 — commencer à / semble… (complément directionnel figuratif)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>V + 起来</b> peut signifier :<br>1. Commencer à (action qui débute). <br>2. Paraître / sembler (avec les sens, évaluation).<br><br><b>Exemples :</b><br>• 她突然哭起来了。<br><small>tā tūrán kū qǐlai le</small><br><i>Elle s'est soudainement mise à pleurer.</i><br><br>• 这道菜闻起来很香。<br><small>zhè dào cài wén qǐlai hěn xiāng</small><br><i>Ce plat sent bon.</i><br><br>• 看起来他不太高兴。<br><small>kàn qǐlai tā bù tài gāoxìng</small><br><i>Il a l'air de ne pas être très content.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是…的 (结构重点)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是…的 peut encadrer le sujet, le verbe, le lieu ou le moyen pour mettre en relief. ⚠ L'objet peut se placer avant ou après 的 : 是她做的 / 是她做的这件事.<br><br><b>Exemples :</b><br>• 是你提醒了我，我才想起来的。<br><small>shì nǐ tíxǐng le wǒ, wǒ cái xiǎng qǐlai de</small><br><i>C'est toi qui m'as rappelé, c'est grâce à toi que j'y ai pensé.</i><br><br>• 他是从上海来的。<br><small>tā shì cóng Shànghǎi lái de</small><br><i>C'est de Shanghai qu'il vient.</i><br><br>• 这件事是你说的，你要负责。<br><small>zhè jiàn shì shì nǐ shuō de</small><br><i>C'est toi qui as dit ça — tu dois en être responsable.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">在乎 / 在意 — se soucier de / tenir compte de</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>在乎</b> = tenir à / se soucier de (émotionnel). <b>在意</b> = prendre en compte / faire attention à (plus large). Négation fréquente : 不在乎 / 不在意.<br><br><b>Exemples :</b><br>• 他根本不在乎别人的眼光。<br><small>tā gēnběn bù zàihu biérén de yǎnguāng</small><br><i>Il se moque complètement du regard des autres.</i><br><br>• 她很在意自己的健康状况。<br><small>tā hěn zàiyì zìjǐ de jiànkāng zhuàngkuàng</small><br><i>Elle attache beaucoup d'importance à son état de santé.</i><br><br>• 这点小事你用不着太在意。<br><small>zhè diǎn xiǎo shì nǐ yòng bù zháo tài zàiyì</small><br><i>Pour une si petite chose, pas besoin d'y attacher trop d'importance.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">趁 — profiter du moment où / pendant que</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>趁</b> + condition favorable + action = profiter de l'occasion. Toujours suivi d'une action bénéficiaire.<br><br><b>Exemples :</b><br>• 趁热打铁。<br><small>chèn rè dǎ tiě</small><br><i>Battre le fer pendant qu'il est chaud.</i><br><br>• 趁年轻多学点东西。<br><small>chèn niánqīng duō xué diǎn dōngxi</small><br><i>Profite de ta jeunesse pour apprendre autant que possible.</i><br><br>• 趁他不注意，她悄悄离开了。<br><small>chèn tā bù zhùyì, tā qiāoqiāo líkāi le</small><br><i>Pendant qu'il ne regardait pas, elle est partie discrètement.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">反正 — de toute façon / peu importe comment</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>反正</b> = de toute façon / dans tous les cas. Exprime une résignation ou une certitude peu importe les conditions.<br><br><b>Exemples :</b><br>• 反正你不来，我一个人去也行。<br><small>fǎnzhèng nǐ bù lái, wǒ yīgèrén qù yě xíng</small><br><i>De toute façon tu ne viens pas, j'irai seul.</i><br><br>• 反正结果都一样，你高兴就好。<br><small>fǎnzhèng jiéguǒ dōu yīyàng, nǐ gāoxìng jiù hǎo</small><br><i>Le résultat sera le même de toute façon — tant que tu es content.</i><br><br>• 反正都要做，不如现在就开始。<br><small>fǎnzhèng dōu yào zuò, bùrú xiànzài jiù kāishǐ</small><br><i>De toute façon il faut le faire — autant commencer maintenant.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">没什么 — ce n'est rien / pas vraiment</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>没什么</b> + adj/V = ce n'est pas vraiment / pas grand-chose. Minimise l'importance.<br><br><b>Exemples :</b><br>• 这点小事没什么大不了的。<br><small>zhè diǎn xiǎo shì méishénme dàbuliǎo de</small><br><i>Cette petite chose, ce n'est pas un grand problème.</i><br><br>• 失败了没什么，重新来过就好了。<br><small>shībài le méishénme, chóngxīn lái guò jiù hǎo le</small><br><i>Échouer, ce n'est rien — recommencer et c'est bon.</i><br><br>• 他没什么特别的地方，就是努力。<br><small>tā méishénme tèbié de dìfāng, jiùshì nǔlì</small><br><i>Il n'a rien de spécial — il travaille juste dur.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">哪里 (哪儿) — pas du tout (ironie/modestie)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>哪里哪里</b> ou <b>哪里</b> seul = pas du tout (réponse modeste à un compliment). Aussi utilisé pour contredire.<br><br><b>Exemples :</b><br>• ——你汉语说得真好！——哪里哪里，还差得远。<br><small>— nǐ hànyǔ shuō de zhēn hǎo ! — nǎlǐ nǎlǐ, hái chà de yuǎn</small><br><i>— Ton chinois est vraiment bien ! — Pas du tout, j'ai encore beaucoup de chemin.</i><br><br>• 他哪里是在帮忙，分明是在添乱。<br><small>tā nǎlǐ shì zài bāngmáng, fēnmíng shì zài tiān luàn</small><br><i>Il n'aide pas du tout — il ne fait que compliquer les choses.</i><br><br>• 你哪里知道我有多难过。<br><small>nǐ nǎlǐ zhīdào wǒ yǒu duō nánguò</small><br><i>Comment pourrais-tu savoir à quel point je suis triste ?</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">顺便 — en passant / en même temps (occasion)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>顺便</b> = en passant / tant qu'on y est. Indique une action accessoire faite en même temps qu'une autre.<br><br><b>Exemples :</b><br>• 你去超市顺便帮我买点牛奶。<br><small>nǐ qù chāoshì shùnbiàn bāng wǒ mǎi diǎn niúnǎi</small><br><i>En allant au supermarché, achète-moi du lait en passant.</i><br><br>• 我顺便问了一下价格。<br><small>wǒ shùnbiàn wèn le yīxià jiàgé</small><br><i>En passant, j'ai demandé le prix.</i><br><br>• 顺便说一下，明天会议改到下午了。<br><small>shùnbiàn shuō yīxià, míngtiān huìyì gǎi dào xiàwǔ le</small><br><i>En passant, la réunion de demain est déplacée à l'après-midi.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">于是 — alors / c'est ainsi que (conséquence narrative)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>于是</b> = alors / c'est ainsi que. Connecteur narratif de conséquence, souvent oral/écrit. ≠ 所以 (moins formel, causalité générale).<br><br><b>Exemples :</b><br>• 他等了很久没人来，于是离开了。<br><small>tā děng le hěn jiǔ méirén lái, yúshì líkāi le</small><br><i>Il a attendu longtemps sans que personne ne vienne, alors il est parti.</i><br><br>• 两人一见如故，于是成了好朋友。<br><small>liǎng rén yījiàn rúgù, yúshì chéng le hǎo péngyǒu</small><br><i>Les deux personnes se sont reconnues au premier regard et sont ainsi devenues de bons amis.</i><br><br>• 这家公司亏损严重，于是决定重组。<br><small>zhè jiā gōngsī kuīsǔn yánzhòng, yúshì juédìng chóngzǔ</small><br><i>Cette entreprise subissait de lourdes pertes, alors elle a décidé de se restructurer.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">只有…才… — seulement si…alors…</span><br><br><small style=""color:#888"">HSK 4</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Condition nécessaire et suffisante. 只有 introduit la seule condition possible, 才 introduit le résultat. ≠ 只要…就 (condition suffisante).<br><br><b>Exemples :</b><br>• 只有努力，才能成功。<br><small><span class=""t3"">zhǐ</span><span class=""t3"">yǒu</span> <span class=""t3"">nǔ</span><span class=""t4"">lì</span>，<span class=""t2"">cái</span> <span class=""t2"">néng</span> <span class=""t2"">chéng</span><span class=""t1"">gōng</span>。</small><br><i>Ce n'est qu'en travaillant dur qu'on réussit.</i><br><br>• 只有你来，我才放心。<br><small><span class=""t3"">zhǐ</span><span class=""t3"">yǒu</span> <span class=""t3"">nǐ</span> <span class=""t2"">lái</span>，<span class=""t3"">wǒ</span> <span class=""t2"">cái</span> <span class=""t4"">fàng</span><span class=""t1"">xīn</span>。</small><br><i>C'est seulement si tu viens que je serai rassuré(e).</i><br><br>• 只有亲身经历，才能真正理解。<br><small>…<span class=""t2"">cái</span> <span class=""t2"">néng</span> <span class=""t1"">zhēn</span><span class=""t1"">zhèng</span> <span class=""t3"">lǐ</span><span class=""t3"">jiě</span>。</small><br><i>Ce n'est qu'en le vivant soi-même qu'on peut vraiment comprendre.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">只要…就… — du moment que…alors…</span><br><br><small style=""color:#888"">HSK 4</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Condition suffisante : 只要 + condition, 就 + résultat. ≠ 只有…才 (condition nécessaire).<br><br><b>Exemples :</b><br>• 只要你喜欢，就可以买。<br><small><span class=""t3"">zhǐ</span><span class=""t4"">yào</span> <span class=""t3"">nǐ</span> <span class=""t3"">xǐ</span><span class=""t0"">huān</span>，<span class=""t4"">jiù</span>…</small><br><i>Du moment que tu l'aimes, tu peux l'acheter.</i><br><br>• 只要坚持，就能成功。<br><small><span class=""t3"">zhǐ</span><span class=""t4"">yào</span> <span class=""t1"">jiān</span><span class=""t2"">chí</span>，<span class=""t4"">jiù</span> <span class=""t2"">néng</span> <span class=""t2"">chéng</span><span class=""t1"">gōng</span>。</small><br><i>Du moment qu'on persévère, on réussira.</i><br><br>• 只要有网，就能工作。<br><small><span class=""t3"">zhǐ</span><span class=""t4"">yào</span> <span class=""t3"">yǒu</span> <span class=""t3"">wǎng</span>，<span class=""t4"">jiù</span> <span class=""t2"">néng</span> <span class=""t1"">gōng</span><span class=""t4"">zuò</span>。</small><br><i>Du moment qu'il y a internet, je peux travailler.</i><br><br></div>"		grammaire deck_v2
